DATA_ACIONA;FX_ATRASO;ORIGEM;ACIONAMENTOS;VALORPRIN_FIN_ACIONAMENTOS;CPC;VALORPRIN_FIN_CPC;CPCA;VALORPRIN_FIN_CPCA;PROMESSA;VALORPRIN_FIN_PROMESSA;nr_dia_util;quartil;dt_mes;mes_abreviado
2025-09-09;361-720;Humano;160;140839,04;39;12671,41;32;10286,24;16;2945,98;7;Q3;9;Set
2025-09-10;121-150;Robô;37;27174,26;1;313,26;0;0,0;0;0,0;8;Q3;9;Set
2025-09-10;151-180;Robô;5;2408,33;1;59,8;1;59,8;1;59,8;8;Q3;9;Set
2025-09-10;181-360;Robô;43;33045,049999999996;1;372,09;1;372,09;0;0,0;8;Q3;9;Set
2025-09-10;361-720;Humano;176;105411,75;47;22811,75;36;16918,71;15;3712,65;8;Q3;9;Set
2025-09-10;Maior 720;Humano;59;23365,53;16;4783,02;10;2821,25;2;80,05;8;Q3;9;Set
2025-09-11;31-60;Robô;5;447,52;2;30,779999999999998;1;29,9;0;0,0;9;Q3;9;Set
2025-09-11;91-120;Robô;8;3344,44;0;0,0;0;0,0;0;0,0;9;Q3;9;Set
2025-09-11;121-150;Robô;10;4819,7;1;20,93;1;20,93;0;0,0;9;Q3;9;Set
2025-09-11;151-180;Robô;1;343,15999999999997;0;0,0;0;0,0;0;0,0;9;Q3;9;Set
2025-09-11;181-360;Robô;26;9756,52;0;0,0;0;0,0;0;0,0;9;Q3;9;Set
2025-09-11;361-720;Humano;163;98533,16;42;24592,52;31;20140,99;11;5219,639999999999;9;Q3;9;Set
2025-09-11;Maior 720;Humano;14;10842,81;5;2369,47;4;1877,78;1;491,69;9;Q3;9;Set
2025-09-12;31-60;Robô;9;1116,5;8;1036,6000000000001;3;787,1;1;159,8;10;Q3;9;Set
2025-09-12;91-120;Robô;1;58,21;1;58,21;1;58,21;1;58,21;10;Q3;9;Set
2025-09-12;121-150;Robô;5;2650,0599999999995;2;53,26;2;53,26;2;53,26;10;Q3;9;Set
2025-09-12;151-180;Robô;1;1301,59;0;0,0;0;0,0;0;0,0;10;Q3;9;Set
2025-09-12;181-360;Robô;14;20402,05;0;0,0;0;0,0;0;0,0;10;Q3;9;Set
2025-09-12;361-720;Humano;246;201500,18;51;31315,2;39;22961,71;22;9468,33;10;Q3;9;Set
2025-09-12;Maior 720;Humano;31;20683,22;10;3229,7000000000003;9;2733,03;5;768,25;10;Q3;9;Set
2025-09-13;31-60;Robô;1;79,9;1;79,9;1;79,9;0;0,0;10;Q3;9;Set
2025-09-13;361-720;Humano;64;43482,6;11;7959,139999999999;7;3930,6200000000003;2;806,3599999999999;10;Q3;9;Set
2025-09-15;Preventivo;Humano;1;29,9;1;29,9;0;0,0;0;0,0;11;Q3;9;Set
2025-09-15;31-60;Robô;5;509,35;4;429,45;2;399,5;0;0,0;11;Q3;9;Set
2025-09-15;91-120;Robô;2;1209,64;1;29,9;0;0,0;0;0,0;11;Q3;9;Set
2025-09-15;121-150;Robô;8;11712,83;1;135,83;0;0,0;0;0,0;11;Q3;9;Set
2025-09-15;361-720;Humano;283;191660,58000000002;49;28754,15;38;21259,49;18;8282,8;11;Q3;9;Set
2025-09-15;Maior 720;Humano;3;4163,7300000000005;0;0,0;0;0,0;0;0,0;11;Q3;9;Set
2025-09-16;Preventivo;Humano;11;769,51;11;769,51;0;0,0;0;0,0;12;Q3;9;Set
2025-09-16;0-30;Humano;3;139,7;3;139,7;0;0,0;0;0,0;12;Q3;9;Set
2025-09-16;0-30;Robô;4;473,93000000000006;3;314,13;3;314,13;2;234,23000000000002;12;Q3;9;Set
2025-09-16;31-60;Humano;1;53,959999999999994;1;53,959999999999994;0;0,0;0;0,0;12;Q3;9;Set
