data;Indicador;qte;fx_atraso;tipo;MesAbreviado;nr_dia_util;quartil;dt_mes;VALORPRIN_FIN
01/01/2025;Pagamentos;0,0;1 - 31-60;HUMANO;jan;16;Q1;1;0,0
01/01/2025;Pagamentos;0,0;1 - 31-60;HUMANO;jan;17;Q1;1;0,0
01/01/2025;Pagamentos;0,0;1 - 31-60;HUMANO;jan;18;Q1;1;0,0
01/01/2025;Pagamentos;0,0;1 - 31-60;HUMANO;jan;19;Q1;1;0,0
01/01/2025;Pagamentos;0,0;1 - 31-60;HUMANO;jan;20;Q1;1;0,0
01/01/2025;Pagamentos;0,0;1 - 31-60;HUMANO;jan;21;Q1;1;0,0
01/01/2025;Pagamentos;697,0;1 - 31-60;ROBÔ;jan;1;Q1;1;43991,73
01/01/2025;Pagamentos;0,0;1 - 31-60;ROBÔ;jan;2;Q1;1;0,0
01/01/2025;Pagamentos;0,0;1 - 31-60;ROBÔ;jan;3;Q1;1;0,0
01/01/2025;Pagamentos;0,0;1 - 31-60;ROBÔ;jan;4;Q1;1;0,0
01/01/2025;Pagamentos;0,0;1 - 31-60;ROBÔ;jan;5;Q1;1;0,0
01/01/2025;Pagamentos;0,0;1 - 31-60;ROBÔ;jan;6;Q1;1;0,0
01/01/2025;Pagamentos;0,0;1 - 31-60;ROBÔ;jan;7;Q1;1;0,0
01/01/2025;Pagamentos;0,0;1 - 31-60;ROBÔ;jan;8;Q1;1;0,0
01/01/2025;Pagamentos;0,0;1 - 31-60;ROBÔ;jan;9;Q1;1;0,0
01/01/2025;Pagamentos;0,0;1 - 31-60;ROBÔ;jan;10;Q1;1;0,0
01/01/2025;Pagamentos;0,0;1 - 31-60;ROBÔ;jan;11;Q1;1;0,0
01/01/2025;Pagamentos;0,0;1 - 31-60;ROBÔ;jan;12;Q1;1;0,0
01/01/2025;Pagamentos;0,0;1 - 31-60;ROBÔ;jan;13;Q1;1;0,0
01/01/2025;Pagamentos;0,0;1 - 31-60;ROBÔ;jan;14;Q1;1;0,0
01/01/2025;Pagamentos;0,0;1 - 31-60;ROBÔ;jan;15;Q1;1;0,0
01/01/2025;Pagamentos;0,0;1 - 31-60;ROBÔ;jan;16;Q1;1;0,0
01/01/2025;Pagamentos;0,0;1 - 31-60;ROBÔ;jan;17;Q1;1;0,0
01/01/2025;Pagamentos;0,0;1 - 31-60;ROBÔ;jan;18;Q1;1;0,0
01/01/2025;Pagamentos;0,0;1 - 31-60;ROBÔ;jan;19;Q1;1;0,0
01/01/2025;Pagamentos;0,0;1 - 31-60;ROBÔ;jan;20;Q1;1;0,0
01/01/2025;Pagamentos;0,0;1 - 31-60;ROBÔ;jan;21;Q1;1;0,0
01/01/2025;Pagamentos;96,0;2 - 61-90;HUMANO;jan;1;Q1;1;10018,04
01/01/2025;Pagamentos;0,0;2 - 61-90;HUMANO;jan;2;Q1;1;
01/01/2025;Pagamentos;0,0;2 - 61-90;HUMANO;jan;3;Q1;1;0,0
01/01/2025;Pagamentos;0,0;2 - 61-90;HUMANO;jan;4;Q1;1;0,0
01/01/2025;Pagamentos;0,0;2 - 61-90;HUMANO;jan;5;Q1;1;0,0
01/01/2025;Pagamentos;0,0;2 - 61-90;HUMANO;jan;6;Q1;1;0,0
01/01/2025;Pagamentos;0,0;2 - 61-90;HUMANO;jan;7;Q1;1;0,0
01/01/2025;Pagamentos;0,0;2 - 61-90;HUMANO;jan;8;Q1;1;0,0
01/01/2025;Pagamentos;0,0;2 - 61-90;HUMANO;jan;9;Q1;1;0,0
01/01/2025;Pagamentos;0,0;2 - 61-90;HUMANO;jan;10;Q1;1;0,0
01/01/2025;Pagamentos;0,0;2 - 61-90;HUMANO;jan;11;Q1;1;0,0
01/01/2025;Pagamentos;0,0;2 - 61-90;HUMANO;jan;12;Q1;1;0,0
01/01/2025;Pagamentos;0,0;2 - 61-90;HUMANO;jan;13;Q1;1;0,0
01/01/2025;Pagamentos;0,0;2 - 61-90;HUMANO;jan;14;Q1;1;0,0
01/01/2025;Pagamentos;0,0;2 - 61-90;HUMANO;jan;15;Q1;1;0,0
01/01/2025;Pagamentos;0,0;2 - 61-90;HUMANO;jan;16;Q1;1;0,0
01/01/2025;Pagamentos;0,0;2 - 61-90;HUMANO;jan;17;Q1;1;0,0
01/01/2025;Pagamentos;0,0;2 - 61-90;HUMANO;jan;18;Q1;1;0,0
01/01/2025;Pagamentos;0,0;2 - 61-90;HUMANO;jan;19;Q1;1;0,0
01/01/2025;Pagamentos;0,0;2 - 61-90;HUMANO;jan;20;Q1;1;0,0
01/01/2025;Pagamentos;0,0;2 - 61-90;HUMANO;jan;21;Q1;1;0,0
01/01/2025;Pagamentos;507,0;2 - 61-90;ROBÔ;jan;1;Q1;1;36667,02
01/01/2025;Pagamentos;0,0;2 - 61-90;ROBÔ;jan;2;Q1;1;0,0
01/01/2025;Pagamentos;0,0;2 - 61-90;ROBÔ;jan;3;Q1;1;0,0
01/01/2025;Pagamentos;0,0;2 - 61-90;ROBÔ;jan;4;Q1;1;0,0
01/01/2025;Pagamentos;0,0;2 - 61-90;ROBÔ;jan;5;Q1;1;0,0
01/01/2025;Pagamentos;0,0;2 - 61-90;ROBÔ;jan;6;Q1;1;0,0
01/01/2025;Pagamentos;0,0;2 - 61-90;ROBÔ;jan;7;Q1;1;0,0
01/01/2025;Pagamentos;0,0;2 - 61-90;ROBÔ;jan;8;Q1;1;0,0
01/01/2025;Pagamentos;0,0;2 - 61-90;ROBÔ;jan;9;Q1;1;0,0
01/01/2025;Pagamentos;0,0;2 - 61-90;ROBÔ;jan;10;Q1;1;0,0
01/01/2025;Pagamentos;0,0;2 - 61-90;ROBÔ;jan;11;Q1;1;0,0
01/01/2025;Pagamentos;0,0;2 - 61-90;ROBÔ;jan;12;Q1;1;0,0
01/01/2025;Pagamentos;0,0;2 - 61-90;ROBÔ;jan;13;Q1;1;0,0
01/01/2025;Pagamentos;0,0;2 - 61-90;ROBÔ;jan;14;Q1;1;0,0
01/01/2025;Pagamentos;0,0;2 - 61-90;ROBÔ;jan;15;Q1;1;0,0
01/01/2025;Pagamentos;0,0;2 - 61-90;ROBÔ;jan;16;Q1;1;0,0
01/01/2025;Pagamentos;0,0;2 - 61-90;ROBÔ;jan;17;Q1;1;0,0
01/01/2025;Pagamentos;0,0;2 - 61-90;ROBÔ;jan;18;Q1;1;0,0
01/01/2025;Pagamentos;0,0;2 - 61-90;ROBÔ;jan;19;Q1;1;0,0
01/01/2025;Pagamentos;0,0;2 - 61-90;ROBÔ;jan;20;Q1;1;0,0
01/01/2025;Pagamentos;0,0;2 - 61-90;ROBÔ;jan;21;Q1;1;0,0
01/01/2025;Pagamentos;67,0;3 - 91-120;HUMANO;jan;1;Q1;1;8555,67
01/01/2025;Pagamentos;0,0;3 - 91-120;HUMANO;jan;2;Q1;1;
01/01/2025;Pagamentos;0,0;3 - 91-120;HUMANO;jan;3;Q1;1;0,0
01/01/2025;Pagamentos;0,0;3 - 91-120;HUMANO;jan;4;Q1;1;0,0
01/01/2025;Pagamentos;0,0;3 - 91-120;HUMANO;jan;5;Q1;1;0,0
01/01/2025;Pagamentos;0,0;3 - 91-120;HUMANO;jan;6;Q1;1;0,0
01/01/2025;Pagamentos;0,0;3 - 91-120;HUMANO;jan;7;Q1;1;0,0
01/01/2025;Pagamentos;0,0;3 - 91-120;HUMANO;jan;8;Q1;1;0,0
01/01/2025;Pagamentos;0,0;3 - 91-120;HUMANO;jan;9;Q1;1;0,0
01/01/2025;Pagamentos;0,0;3 - 91-120;HUMANO;jan;10;Q1;1;0,0
01/01/2025;Pagamentos;0,0;3 - 91-120;HUMANO;jan;11;Q1;1;0,0
01/01/2025;Pagamentos;0,0;3 - 91-120;HUMANO;jan;12;Q1;1;0,0
01/01/2025;Pagamentos;0,0;3 - 91-120;HUMANO;jan;13;Q1;1;0,0
01/01/2025;Pagamentos;0,0;3 - 91-120;HUMANO;jan;14;Q1;1;0,0
01/01/2025;Pagamentos;0,0;3 - 91-120;HUMANO;jan;15;Q1;1;0,0
01/01/2025;Pagamentos;0,0;3 - 91-120;HUMANO;jan;16;Q1;1;0,0
01/01/2025;Pagamentos;0,0;3 - 91-120;HUMANO;jan;17;Q1;1;0,0
01/01/2025;Pagamentos;0,0;3 - 91-120;HUMANO;jan;18;Q1;1;0,0
01/01/2025;Pagamentos;0,0;3 - 91-120;HUMANO;jan;19;Q1;1;0,0
01/01/2025;Pagamentos;0,0;3 - 91-120;HUMANO;jan;20;Q1;1;0,0
01/01/2025;Pagamentos;0,0;3 - 91-120;HUMANO;jan;21;Q1;1;0,0
01/01/2025;Pagamentos;240,0;3 - 91-120;ROBÔ;jan;1;Q1;1;26436,41
01/01/2025;Pagamentos;0,0;3 - 91-120;ROBÔ;jan;2;Q1;1;0,0
01/01/2025;Pagamentos;0,0;3 - 91-120;ROBÔ;jan;3;Q1;1;0,0
01/01/2025;Pagamentos;0,0;3 - 91-120;ROBÔ;jan;4;Q1;1;0,0
01/01/2025;Pagamentos;0,0;3 - 91-120;ROBÔ;jan;5;Q1;1;0,0
01/01/2025;Pagamentos;0,0;3 - 91-120;ROBÔ;jan;6;Q1;1;0,0
01/01/2025;Pagamentos;0,0;3 - 91-120;ROBÔ;jan;7;Q1;1;0,0
01/01/2025;Pagamentos;0,0;3 - 91-120;ROBÔ;jan;8;Q1;1;0,0
01/01/2025;Pagamentos;0,0;3 - 91-120;ROBÔ;jan;9;Q1;1;0,0
01/01/2025;Pagamentos;0,0;3 - 91-120;ROBÔ;jan;10;Q1;1;0,0
01/01/2025;Pagamentos;0,0;3 - 91-120;ROBÔ;jan;11;Q1;1;0,0
01/01/2025;Pagamentos;0,0;3 - 91-120;ROBÔ;jan;12;Q1;1;0,0
01/01/2025;Pagamentos;0,0;3 - 91-120;ROBÔ;jan;13;Q1;1;0,0
01/01/2025;Pagamentos;0,0;3 - 91-120;ROBÔ;jan;14;Q1;1;0,0
01/01/2025;Pagamentos;0,0;3 - 91-120;ROBÔ;jan;15;Q1;1;0,0
01/01/2025;Pagamentos;0,0;3 - 91-120;ROBÔ;jan;16;Q1;1;0,0
01/01/2025;Pagamentos;0,0;3 - 91-120;ROBÔ;jan;17;Q1;1;0,0
01/01/2025;Pagamentos;0,0;3 - 91-120;ROBÔ;jan;18;Q1;1;0,0
01/01/2025;Pagamentos;0,0;3 - 91-120;ROBÔ;jan;19;Q1;1;0,0
01/01/2025;Pagamentos;0,0;3 - 91-120;ROBÔ;jan;20;Q1;1;0,0
01/01/2025;Pagamentos;0,0;3 - 91-120;ROBÔ;jan;21;Q1;1;0,0
01/01/2025;Pagamentos;35,0;4 - 121-150;HUMANO;jan;1;Q1;1;3692,42
01/01/2025;Pagamentos;0,0;4 - 121-150;HUMANO;jan;2;Q1;1;0,0
01/01/2025;Pagamentos;0,0;4 - 121-150;HUMANO;jan;3;Q1;1;0,0
01/01/2025;Pagamentos;0,0;4 - 121-150;HUMANO;jan;4;Q1;1;0,0
01/01/2025;Pagamentos;0,0;4 - 121-150;HUMANO;jan;5;Q1;1;0,0
01/01/2025;Pagamentos;0,0;4 - 121-150;HUMANO;jan;6;Q1;1;0,0
01/01/2025;Pagamentos;0,0;4 - 121-150;HUMANO;jan;7;Q1;1;0,0
01/01/2025;Pagamentos;0,0;4 - 121-150;HUMANO;jan;8;Q1;1;0,0
01/01/2025;Pagamentos;0,0;4 - 121-150;HUMANO;jan;9;Q1;1;0,0
01/01/2025;Pagamentos;0,0;4 - 121-150;HUMANO;jan;10;Q1;1;0,0
01/01/2025;Pagamentos;0,0;4 - 121-150;HUMANO;jan;11;Q1;1;0,0
01/01/2025;Pagamentos;0,0;4 - 121-150;HUMANO;jan;12;Q1;1;0,0
01/01/2025;Pagamentos;0,0;4 - 121-150;HUMANO;jan;13;Q1;1;0,0
01/01/2025;Pagamentos;0,0;4 - 121-150;HUMANO;jan;14;Q1;1;0,0
01/01/2025;Pagamentos;0,0;4 - 121-150;HUMANO;jan;15;Q1;1;0,0
01/01/2025;Pagamentos;0,0;4 - 121-150;HUMANO;jan;16;Q1;1;0,0
01/01/2025;Pagamentos;0,0;4 - 121-150;HUMANO;jan;17;Q1;1;0,0
01/01/2025;Pagamentos;0,0;4 - 121-150;HUMANO;jan;18;Q1;1;0,0
01/01/2025;Pagamentos;0,0;4 - 121-150;HUMANO;jan;19;Q1;1;0,0
01/01/2025;Pagamentos;0,0;4 - 121-150;HUMANO;jan;20;Q1;1;0,0
01/01/2025;Pagamentos;0,0;4 - 121-150;HUMANO;jan;21;Q1;1;0,0
01/01/2025;Pagamentos;96,0;4 - 121-150;ROBÔ;jan;1;Q1;1;10152,8
01/01/2025;Pagamentos;0,0;4 - 121-150;ROBÔ;jan;2;Q1;1;
01/01/2025;Pagamentos;0,0;4 - 121-150;ROBÔ;jan;3;Q1;1;
01/01/2025;Pagamentos;0,0;4 - 121-150;ROBÔ;jan;4;Q1;1;0,0
01/01/2025;Pagamentos;0,0;4 - 121-150;ROBÔ;jan;5;Q1;1;0,0
01/01/2025;Pagamentos;0,0;4 - 121-150;ROBÔ;jan;6;Q1;1;0,0
01/01/2025;Pagamentos;0,0;4 - 121-150;ROBÔ;jan;7;Q1;1;0,0
01/01/2025;Pagamentos;0,0;4 - 121-150;ROBÔ;jan;8;Q1;1;0,0
01/01/2025;Pagamentos;0,0;4 - 121-150;ROBÔ;jan;9;Q1;1;0,0
01/01/2025;Pagamentos;0,0;4 - 121-150;ROBÔ;jan;10;Q1;1;0,0
01/01/2025;Pagamentos;0,0;4 - 121-150;ROBÔ;jan;11;Q1;1;0,0
01/01/2025;Pagamentos;0,0;4 - 121-150;ROBÔ;jan;12;Q1;1;0,0
01/01/2025;Pagamentos;0,0;4 - 121-150;ROBÔ;jan;13;Q1;1;0,0
01/01/2025;Pagamentos;0,0;4 - 121-150;ROBÔ;jan;14;Q1;1;0,0
01/01/2025;Pagamentos;0,0;4 - 121-150;ROBÔ;jan;15;Q1;1;0,0
01/01/2025;Pagamentos;0,0;4 - 121-150;ROBÔ;jan;16;Q1;1;0,0
01/01/2025;Pagamentos;0,0;4 - 121-150;ROBÔ;jan;17;Q1;1;0,0
01/01/2025;Pagamentos;0,0;4 - 121-150;ROBÔ;jan;18;Q1;1;0,0
01/01/2025;Pagamentos;0,0;4 - 121-150;ROBÔ;jan;19;Q1;1;0,0
01/01/2025;Pagamentos;0,0;4 - 121-150;ROBÔ;jan;20;Q1;1;0,0
01/01/2025;Pagamentos;0,0;4 - 121-150;ROBÔ;jan;21;Q1;1;0,0
01/01/2025;Pagamentos;16,0;5 - 151-180;HUMANO;jan;1;Q1;1;1683,12
01/01/2025;Pagamentos;0,0;5 - 151-180;HUMANO;jan;4;Q1;1;0,0
01/01/2025;Pagamentos;0,0;5 - 151-180;HUMANO;jan;5;Q1;1;0,0
01/01/2025;Pagamentos;0,0;5 - 151-180;HUMANO;jan;6;Q1;1;0,0
01/01/2025;Pagamentos;0,0;5 - 151-180;HUMANO;jan;7;Q1;1;0,0
01/01/2025;Pagamentos;0,0;5 - 151-180;HUMANO;jan;8;Q1;1;0,0
01/01/2025;Pagamentos;0,0;5 - 151-180;HUMANO;jan;9;Q1;1;0,0
01/01/2025;Pagamentos;0,0;5 - 151-180;HUMANO;jan;10;Q1;1;0,0
01/01/2025;Pagamentos;0,0;5 - 151-180;HUMANO;jan;11;Q1;1;0,0
01/01/2025;Pagamentos;0,0;5 - 151-180;HUMANO;jan;12;Q1;1;0,0
01/01/2025;Pagamentos;0,0;5 - 151-180;HUMANO;jan;13;Q1;1;0,0
01/01/2025;Pagamentos;0,0;5 - 151-180;HUMANO;jan;14;Q1;1;0,0
01/01/2025;Pagamentos;0,0;5 - 151-180;HUMANO;jan;15;Q1;1;0,0
01/01/2025;Pagamentos;0,0;5 - 151-180;HUMANO;jan;16;Q1;1;0,0
01/01/2025;Pagamentos;0,0;5 - 151-180;HUMANO;jan;17;Q1;1;0,0
01/01/2025;Pagamentos;0,0;5 - 151-180;HUMANO;jan;18;Q1;1;0,0
01/01/2025;Pagamentos;0,0;5 - 151-180;HUMANO;jan;19;Q1;1;0,0
01/01/2025;Pagamentos;0,0;5 - 151-180;HUMANO;jan;20;Q1;1;0,0
01/01/2025;Pagamentos;0,0;5 - 151-180;HUMANO;jan;21;Q1;1;0,0
01/01/2025;Pagamentos;61,0;5 - 151-180;ROBÔ;jan;1;Q1;1;6361,95
01/01/2025;Pagamentos;0,0;5 - 151-180;ROBÔ;jan;6;Q1;1;0,0
01/01/2025;Pagamentos;0,0;5 - 151-180;ROBÔ;jan;7;Q1;1;0,0
01/01/2025;Pagamentos;0,0;5 - 151-180;ROBÔ;jan;8;Q1;1;0,0
01/01/2025;Pagamentos;0,0;5 - 151-180;ROBÔ;jan;9;Q1;1;0,0
01/01/2025;Pagamentos;0,0;5 - 151-180;ROBÔ;jan;10;Q1;1;0,0
01/01/2025;Pagamentos;0,0;5 - 151-180;ROBÔ;jan;11;Q1;1;0,0
01/01/2025;Pagamentos;0,0;5 - 151-180;ROBÔ;jan;12;Q1;1;0,0
01/01/2025;Pagamentos;0,0;5 - 151-180;ROBÔ;jan;13;Q1;1;0,0
01/01/2025;Pagamentos;0,0;5 - 151-180;ROBÔ;jan;14;Q1;1;0,0
01/01/2025;Pagamentos;0,0;5 - 151-180;ROBÔ;jan;15;Q1;1;0,0
