data;Indicador;qte;fx_atraso;tipo;MesAbreviado;nr_dia_util;quartil;dt_mes;VALORPRIN_FIN
01/01/2025;Pagamentos;0,0;5 - 151-180;ROBÔ;jan;16;Q1;1;0,0
01/01/2025;Pagamentos;0,0;5 - 151-180;ROBÔ;jan;17;Q1;1;0,0
01/01/2025;Pagamentos;0,0;5 - 151-180;ROBÔ;jan;18;Q1;1;0,0
01/01/2025;Pagamentos;0,0;5 - 151-180;ROBÔ;jan;19;Q1;1;0,0
01/01/2025;Pagamentos;0,0;5 - 151-180;ROBÔ;jan;20;Q1;1;0,0
01/01/2025;Pagamentos;0,0;5 - 151-180;ROBÔ;jan;21;Q1;1;0,0
01/01/2025;Pagamentos;44,0;6 - 181-360;HUMANO;jan;1;Q1;1;5289,93
01/01/2025;Pagamentos;0,0;6 - 181-360;HUMANO;jan;2;Q1;1;
01/01/2025;Pagamentos;0,0;6 - 181-360;HUMANO;jan;3;Q1;1;
01/01/2025;Pagamentos;0,0;6 - 181-360;HUMANO;jan;4;Q1;1;0,0
01/01/2025;Pagamentos;0,0;6 - 181-360;HUMANO;jan;5;Q1;1;0,0
01/01/2025;Pagamentos;0,0;6 - 181-360;HUMANO;jan;6;Q1;1;0,0
01/01/2025;Pagamentos;0,0;6 - 181-360;HUMANO;jan;7;Q1;1;0,0
01/01/2025;Pagamentos;0,0;6 - 181-360;HUMANO;jan;8;Q1;1;0,0
01/01/2025;Pagamentos;0,0;6 - 181-360;HUMANO;jan;9;Q1;1;0,0
01/01/2025;Pagamentos;0,0;6 - 181-360;HUMANO;jan;10;Q1;1;0,0
01/01/2025;Pagamentos;0,0;6 - 181-360;HUMANO;jan;11;Q1;1;0,0
01/01/2025;Pagamentos;0,0;6 - 181-360;HUMANO;jan;12;Q1;1;0,0
01/01/2025;Pagamentos;0,0;6 - 181-360;HUMANO;jan;13;Q1;1;0,0
01/01/2025;Pagamentos;0,0;6 - 181-360;HUMANO;jan;14;Q1;1;0,0
01/01/2025;Pagamentos;0,0;6 - 181-360;HUMANO;jan;15;Q1;1;0,0
01/01/2025;Pagamentos;0,0;6 - 181-360;HUMANO;jan;16;Q1;1;0,0
01/01/2025;Pagamentos;0,0;6 - 181-360;HUMANO;jan;17;Q1;1;0,0
01/01/2025;Pagamentos;0,0;6 - 181-360;HUMANO;jan;18;Q1;1;0,0
01/01/2025;Pagamentos;0,0;6 - 181-360;HUMANO;jan;19;Q1;1;0,0
01/01/2025;Pagamentos;0,0;6 - 181-360;HUMANO;jan;20;Q1;1;0,0
01/01/2025;Pagamentos;0,0;6 - 181-360;HUMANO;jan;21;Q1;1;0,0
01/01/2025;Pagamentos;139,0;6 - 181-360;ROBÔ;jan;1;Q1;1;15395,81
01/01/2025;Pagamentos;0,0;6 - 181-360;ROBÔ;jan;6;Q1;1;
01/01/2025;Pagamentos;0,0;6 - 181-360;ROBÔ;jan;7;Q1;1;
01/01/2025;Pagamentos;0,0;6 - 181-360;ROBÔ;jan;8;Q1;1;
01/01/2025;Pagamentos;0,0;6 - 181-360;ROBÔ;jan;9;Q1;1;
01/01/2025;Pagamentos;0,0;6 - 181-360;ROBÔ;jan;10;Q1;1;
01/01/2025;Pagamentos;0,0;6 - 181-360;ROBÔ;jan;11;Q1;1;
01/01/2025;Pagamentos;0,0;6 - 181-360;ROBÔ;jan;12;Q1;1;
01/01/2025;Pagamentos;0,0;6 - 181-360;ROBÔ;jan;13;Q1;1;
01/01/2025;Pagamentos;0,0;6 - 181-360;ROBÔ;jan;14;Q1;1;
01/01/2025;Pagamentos;0,0;6 - 181-360;ROBÔ;jan;15;Q1;1;
01/01/2025;Pagamentos;0,0;6 - 181-360;ROBÔ;jan;16;Q1;1;
01/01/2025;Pagamentos;0,0;6 - 181-360;ROBÔ;jan;17;Q1;1;
01/01/2025;Pagamentos;0,0;6 - 181-360;ROBÔ;jan;18;Q1;1;
01/01/2025;Pagamentos;0,0;6 - 181-360;ROBÔ;jan;19;Q1;1;
01/01/2025;Pagamentos;0,0;6 - 181-360;ROBÔ;jan;20;Q1;1;
01/01/2025;Pagamentos;0,0;6 - 181-360;ROBÔ;jan;21;Q1;1;
01/01/2025;Pagamentos;4,0;7 - 361-720;HUMANO;jan;1;Q1;1;1071,03
01/01/2025;Pagamentos;0,0;7 - 361-720;HUMANO;jan;2;Q1;1;0,0
01/01/2025;Pagamentos;0,0;7 - 361-720;HUMANO;jan;3;Q1;1;0,0
01/01/2025;Pagamentos;0,0;7 - 361-720;HUMANO;jan;4;Q1;1;0,0
01/01/2025;Pagamentos;0,0;7 - 361-720;HUMANO;jan;5;Q1;1;0,0
