DATA_ACIONA;FX_ATRASO;ORIGEM;ACIONAMENTOS;VALORPRIN_FIN_ACIONAMENTOS;CPC;VALORPRIN_FIN_CPC;CPCA;VALORPRIN_FIN_CPCA;PROMESSA;VALORPRIN_FIN_PROMESSA;nr_dia_util;quartil;dt_mes;mes_abreviado
2025-09-03;0-30;Humano;2,0;625,8000000000001;1,0;104,21000000000001;1,0;104,21000000000001;1,0;104,21000000000001;3;Q3;9;Set
2025-09-03;0-30;Robô;18,0;1268,9299999999998;13,0;839,0200000000001;10,0;696,58;5,0;293,23999999999995;3;Q3;9;Set
2025-09-03;31-60;Humano;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3;Q3;9;Set
2025-09-03;31-60;Robô;2,0;216,06;2,0;216,06;2,0;216,06;0,0;0,0;3;Q3;9;Set
2025-09-03;61-90;Humano;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3;Q3;9;Set
2025-09-03;61-90;Robô;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3;Q3;9;Set
2025-09-03;91-120;Humano;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3;Q3;9;Set
2025-09-03;91-120;Robô;11,0;17924,390000000003;2,0;843,4299999999998;2,0;843,4299999999998;0,0;0,0;3;Q3;9;Set
2025-09-03;121-150;Humano;16,0;4788,620000000001;6,0;739,06;5,0;737,1400000000001;1,0;159,8;3;Q3;9;Set
2025-09-03;121-150;Robô;20,0;18475,1;5,0;737,1400000000001;5,0;737,1400000000001;0,0;0,0;3;Q3;9;Set
2025-09-03;151-180;Humano;17,0;4928,31;4,0;380,46000000000004;4,0;380,46000000000004;3,0;315,48;3;Q3;9;Set
2025-09-03;151-180;Robô;16,0;11867,34;3,0;365,48;3,0;365,48;3,0;365,48;3;Q3;9;Set
2025-09-03;181-360;Humano;234,0;117008,53000000001;63,0;15131,609999999995;38,0;9599,909999999998;18,0;2747,2300000000005;3;Q3;9;Set
2025-09-03;181-360;Robô;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3;Q3;9;Set
2025-09-03;361-720;Humano;289,0;303270,85;59,0;25641,4;42,0;16358,570000000002;18,0;3353,6400000000003;3;Q3;9;Set
2025-09-03;361-720;Robô;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3;Q3;9;Set
2025-09-03;Maior 720;Humano;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3;Q3;9;Set
2025-09-03;Maior 720;Robô;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3;Q3;9;Set
2025-09-04;Preventivo;Humano;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4;Q3;9;Set
2025-09-04;Preventivo;Robô;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4;Q3;9;Set
2025-09-04;0-30;Humano;2,0;625,8000000000001;1,0;104,21000000000001;1,0;104,21000000000001;1,0;104,21000000000001;4;Q3;9;Set
2025-09-04;0-30;Robô;27,0;2525,85;21,0;1875,4600000000003;16,0;1566,5600000000002;8,0;995,74;4;Q3;9;Set
2025-09-04;31-60;Humano;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4;Q3;9;Set
2025-09-04;31-60;Robô;4,0;296,8;4,0;296,8;2,0;216,06;0,0;0,0;4;Q3;9;Set
2025-09-04;61-90;Humano;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4;Q3;9;Set
2025-09-04;61-90;Robô;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4;Q3;9;Set
2025-09-04;91-120;Humano;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4;Q3;9;Set
2025-09-04;91-120;Robô;112,0;78913,34;3,0;903,2299999999998;2,0;843,4299999999998;0,0;0,0;4;Q3;9;Set
2025-09-04;121-150;Humano;34,0;7549,33;11,0;1195,14;9,0;1113,3200000000002;4,0;376,18;4;Q3;9;Set
2025-09-04;121-150;Robô;55,0;31809,450000000004;10,0;1193,22;9,0;1113,3200000000002;3,0;216,38000000000002;4;Q3;9;Set
2025-09-04;151-180;Humano;27,0;8747,139999999998;7,0;751,24;6,0;591,44;5,0;526,46;4;Q3;9;Set
2025-09-04;151-180;Robô;43,0;29468,49;7,0;801,24;5,0;576,46;5,0;576,46;4;Q3;9;Set
2025-09-04;181-360;Humano;348,0;157507,6;90,0;20393,18;57,0;13580,909999999998;31,0;5373,380000000001;4;Q3;9;Set
2025-09-04;181-360;Robô;84,0;28001,089999999997;14,0;1123,23;9,0;887,6200000000001;6,0;614,42;4;Q3;9;Set
2025-09-04;361-720;Humano;420,0;361022,83999999997;109,0;43968,420000000006;85,0;31397,02;41,0;9754,220000000001;4;Q3;9;Set
2025-09-04;361-720;Robô;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4;Q3;9;Set
2025-09-04;Maior 720;Humano;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4;Q3;9;Set
2025-09-04;Maior 720;Robô;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;4;Q3;9;Set
2025-09-05;Preventivo;Humano;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5;Q3;9;Set
2025-09-05;Preventivo;Robô;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5;Q3;9;Set
2025-09-05;0-30;Humano;2,0;625,8000000000001;1,0;104,21000000000001;1,0;104,21000000000001;1,0;104,21000000000001;5;Q3;9;Set
2025-09-05;0-30;Robô;27,0;2525,85;21,0;1875,4600000000003;16,0;1566,5600000000002;8,0;995,74;5;Q3;9;Set
2025-09-05;31-60;Humano;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5;Q3;9;Set
2025-09-05;31-60;Robô;4,0;296,8;4,0;296,8;2,0;216,06;0,0;0,0;5;Q3;9;Set
2025-09-05;61-90;Humano;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5;Q3;9;Set
2025-09-05;61-90;Robô;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5;Q3;9;Set
2025-09-05;91-120;Humano;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5;Q3;9;Set
2025-09-05;91-120;Robô;112,0;78913,34;3,0;903,2299999999998;2,0;843,4299999999998;0,0;0,0;5;Q3;9;Set
2025-09-05;121-150;Humano;50,0;11566,16;16,0;1562,38;12,0;1358,91;7,0;559,91;5;Q3;9;Set
2025-09-05;121-150;Robô;69,0;35027,17999999999;14,0;1400,6600000000003;11,0;1199,1100000000001;6,0;400,10999999999996;5;Q3;9;Set
2025-09-05;151-180;Humano;27,0;8747,139999999998;7,0;751,24;6,0;591,44;5,0;526,46;5;Q3;9;Set
