DATA;FX_ATRASO;ORIGEM;ACIONAMENTOS;VALORPRIN_FIN_ACIONAMENTOS;CPC;VALORPRIN_FIN_CPC;CPCA;VALORPRIN_FIN_CPCA;PROMESSA;VALORPRIN_FIN_PROMESSA;nr_dia_util;quartil;dt_mes;mes_abreviado
2025-09-05;0-30;Robô;3704,0;336953,83;3493,0;315759,63;757,0;63527,59999999999;241,0;18917,76;5;Q3;9;Set
2025-09-05;31-60;Robô;1016,0;164422,22000000003;945,0;150031,41;205,0;29204,28;53,0;6168,29;5;Q3;9;Set
2025-09-05;61-90;Robô;3,0;491,94;3,0;491,94;1,0;372,34;1,0;372,34;5;Q3;9;Set
2025-09-05;91-120;Robô;1132,0;171930,15999999997;1068,0;161195,09;162,0;25160,829999999998;51,0;6452,900000000001;5;Q3;9;Set
2025-09-05;121-150;Robô;1069,0;185412,2;982,0;168551,49;147,0;22386,879999999997;56,0;9130,62;5;Q3;9;Set
2025-09-05;151-180;Robô;501,0;106221,43;469,0;96926,11000000002;68,0;17157,239999999994;14,0;1679,32;5;Q3;9;Set
2025-09-05;181-360;Robô;2287,0;607999,12;2112,0;558503,49;275,0;73216,32999999999;57,0;6974,05;5;Q3;9;Set
2025-09-05;361-720;Robô;6,0;2424,7;0,0;0,0;0,0;0,0;0,0;0,0;5;Q3;9;Set
2025-09-05;Maior 720;Robô;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5;Q3;9;Set
2025-09-06;Preventivo;Robô;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5;Q3;9;Set
2025-09-06;0-30;Robô;3704,0;336953,83;3493,0;315759,63;757,0;63527,59999999999;241,0;18917,76;5;Q3;9;Set
2025-09-06;31-60;Robô;1016,0;164422,22000000003;945,0;150031,41;205,0;29204,28;53,0;6168,29;5;Q3;9;Set
2025-09-06;61-90;Robô;3,0;491,94;3,0;491,94;1,0;372,34;1,0;372,34;5;Q3;9;Set
2025-09-06;91-120;Robô;1118,0;169941,82;1060,0;160201,86;162,0;25160,829999999998;51,0;6452,900000000001;5;Q3;9;Set
2025-09-06;121-150;Robô;1213,0;201938,95;1114,0;184108,22999999998;166,0;25202,109999999997;59,0;10048,119999999999;5;Q3;9;Set
2025-09-06;151-180;Robô;540,0;112295,95999999999;504,0;102219,54000000001;76,0;17920,94;15,0;1709,22;5;Q3;9;Set
2025-09-06;181-360;Robô;2721,0;751500,5900000001;2515,0;688933,04;357,0;100189,85;68,0;8106,050000000001;5;Q3;9;Set
2025-09-06;361-720;Robô;6,0;2424,7;0,0;0,0;0,0;0,0;0,0;0,0;5;Q3;9;Set
2025-09-06;Maior 720;Robô;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5;Q3;9;Set
2025-09-08;Preventivo;Robô;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6;Q3;9;Set
2025-09-08;0-30;Robô;3703,0;336923,93;3493,0;315759,63;757,0;63527,59999999999;241,0;18917,76;6;Q3;9;Set
